risk_band,avg_scenario_premium
1,155.07776872972804
2,195.60944965236018
3,224.27577090895298
4,250.69373116681845
5,275.8260296131945
6,301.0581601155487
7,329.3492754236018
8,366.6462552866344
9,436.82401832528285
10,697.4917124383903
